,text,normal_text,label
0,имеются ли у вас номера бизнес класса,иметься номер бизнес класс,номера
1,Добрый день Какое время заезда ,добрый день какой время заезд,время
2,скажите номера какие имеются,сказать номер какой иметься,номера
3,когда можно будет заехать,заехать,время
4,какие услуги гостинице есть дополнение,какой услуга гостиница дополнение,услуги
5,Здравствуйте долго бронировать по времени номер в отеле ,здравствуйте долго бронировать время номер отель,время
6,Во сколько мы можем войти в комнату,сколько мочь войти комната,время
7,добрый день я хочу забронировать номер на троих с раздельными кроватями,добрый день хотеть забронировать номер трое раздельный кровать,забронировать
8,Я хочу забронировать номер,хотеть забронировать номер,забронировать
9, ваша гостиница Какие дополнительные услуги предоставляет,ваш гостиница какой дополнительный услуга предоставлять,услуги
10,у вас есть номер люкс,номер люкс,номера
11,Здравствуйте подскажите пожалуйста как номера в гостинице свободны на 1 июня Интересуют номера люкс,здравствуйте подсказать пожалуйста номер гостиница свободный 1 июнь интересовать номер люкс,номера
12,привет я хочу поселиться у вас как мне это сделать,привет хотеть поселиться это сделать,время
13,привет в отеле есть парковка для гостей,привет отель парковка гость,парковка
14,наличие парковки,наличие парковка,время
15,здравствуйте какие развлекательные программы вы можете предложить,здравствуйте какой развлекательный программа мочь предложить,время
16,Здравствуйте Скажите когда можно будет заселиться в номер,здравствуйте сказать заселиться номер,время
17,В какое время можно заехать в номер,какой время заехать номер,время
18,здравствуйте можно ли в вашем отеле забронировать номер,здравствуйте ваш отель забронировать номер,забронировать
19,добрый день можно у вас забронировать номер,добрый день забронировать номер,забронировать
20,сколько свободных номеров в вашей гостинице,сколько свободный номер ваш гостиница,время
21,категории свободных номеров,категория свободный номер,время
22,Добрый день Какие в гостинице есть дополнительные услуги,добрый день какой гостиница дополнительный услуга,услуги
23,Здравствуйте Мне нужно забронировать номер в вашем отеле на следющий месяц,здравствуйте нужно забронировать номер ваш отель следющий месяц,забронировать
24,скажите пожалуйста есть ли у вас услуги для проживания с домашними животными,сказать пожалуйста услуга проживание домашний животное,время
25,здравствуйте интересует такой вопрос какие есть номера в вашей гостинице заранее спасибо за ответ,здравствуйте интересовать вопрос какой номер ваш гостиница заранее спасибо ответ,время
26,в какое время можно заселиться,какой время заселиться,время
27,подскажите пожалуйста какие еще услуги предоставляет ваша гостиница,подсказать пожалуйста какой услуга предоставлять ваш гостиница,услуги
28,сколько стоит двухместный номер,сколько стоить двухместный номер,время
29,здравствуйте в какое время происходит заселение в номер,здравствуйте какой время происходить заселение номер,время
30,Привет во сколько мне зарегистрироваться,привет сколько зарегистрироваться,время
31,Здравствуйте я хочу забронировать номер в вашем отеле на этот вечер,здравствуйте хотеть забронировать номер ваш отель вечер,забронировать
32,Доброе утро я хотел бы забронировать номер в вашем отеле,добрый утро хотеть забронировать номер ваш отель,забронировать
33,какое время заезда в номер у нас,какой время заезд номер,время
34,здравствуйте я хотел бы забронировать номер в отеле,здравствуйте хотеть забронировать номер отель,забронировать
35,привет мне очень нужны номера которые вы мне дадите я знаю что это поможет мне ты хороший человек,привет очень нужный номер который дать знать это помочь хороший человек,время
36,добрый день какие номера сейчас свободны,добрый день какой номер свободный,номера
37,В какое время я смогу заселиться,какой время смочь заселиться,время
38,сколько номеров я могу забронировать сейчас,сколько номер мочь забронировать,время
39,в котором часу ожидать заезд в номер,который час ожидать заезд номер,время
