,query,col1,col2,col3
0,имеются ли у вас номера бизнес класса,98,16,48
1,Добрый день Какое время заезда ,70,85,40
2,скажите номера какие имеются,88,49,94
3,когда можно будет заехать,46,30,35
4,какие услуги гостинице есть дополнение,26,16,37
5,Здравствуйте долго бронировать по времени номер в отеле ,32,91,85
6,Во сколько мы можем войти в комнату,25,27,17
7,добрый день я хочу забронировать номер на троих с раздельными кроватями,94,9,71
8,Я хочу забронировать номер,9,90,5
9, ваша гостиница Какие дополнительные услуги предоставляет,64,86,92
10,у вас есть номер люкс,38,77,86
11,Здравствуйте подскажите пожалуйста как номера в гостинице свободны на 1 июня Интересуют номера люкс,63,47,44
12,привет я хочу поселиться у вас как мне это сделать,17,21,79
13,привет в отеле есть парковка для гостей,85,45,29
14,наличие парковки,62,32,57
15,здравствуйте какие развлекательные программы вы можете предложить,54,24,27
16,Здравствуйте Скажите когда можно будет заселиться в номер,94,59,86
17,В какое время можно заехать в номер,73,33,69
18,здравствуйте можно ли в вашем отеле забронировать номер,77,48,38
19,добрый день можно у вас забронировать номер,86,61,59
20,сколько свободных номеров в вашей гостинице,96,66,11
21,категории свободных номеров,28,6,1
22,Добрый день Какие в гостинице есть дополнительные услуги,60,19,47
23,Здравствуйте Мне нужно забронировать номер в вашем отеле на следющий месяц,58,60,82
24,скажите пожалуйста есть ли у вас услуги для проживания с домашними животными,33,55,13
25,здравствуйте интересует такой вопрос какие есть номера в вашей гостинице заранее спасибо за ответ,18,97,44
26,в какое время можно заселиться,9,90,19
27,подскажите пожалуйста какие еще услуги предоставляет ваша гостиница,63,82,87
28,сколько стоит двухместный номер,76,0,85
29,здравствуйте в какое время происходит заселение в номер,92,74,55
30,Привет во сколько мне зарегистрироваться,74,14,94
31,Здравствуйте я хочу забронировать номер в вашем отеле на этот вечер,95,12,80
32,Доброе утро я хотел бы забронировать номер в вашем отеле,53,73,87
33,какое время заезда в номер у нас,98,54,79
34,здравствуйте я хотел бы забронировать номер в отеле,29,88,34
35,привет мне очень нужны номера которые вы мне дадите я знаю что это поможет мне ты хороший человек,91,100,50
36,добрый день какие номера сейчас свободны,52,80,55
37,В какое время я смогу заселиться,32,31,25
38,сколько номеров я могу забронировать сейчас,45,58,36
39,в котором часу ожидать заезд в номер,73,31,80
40,здравствуйте есть ли у вас свободные номера мне бы хотелось забронировать один,39,57,63
41,каково время выезда из номера,25,27,50
42,в какое время номер будет готов к заселениею,18,38,89
43,заезд в какое время в номер,0,67,82
44,предоставляет ли гостиница дополнительные услуги,57,18,91
45,хотела бы уточнить какие номера у вас есть,6,86,89
46,расскажите какие есть номера,29,23,9
47,в какое время можно заедать в номер,83,9,95
48,подскажите пожалуйста сколько у вас номерной фонд,65,31,56
49,доброе утро скажите есть ли у вас бесплатная охраняемая стояка,51,35,9
50,Какие у вас есть виды номеров,13,83,85
51,Номер в отеле,88,9,73
52,Подскажите список услуг которые вы предоставляете,87,99,80
53,здравствуйте смогу ли я припарковаться возле отеля,31,27,71
54,хорошего дня не могли бы вы рассказать когда будет ланч,88,7,10
55,привет хочу забронировать номер,85,1,71
56,здравствуйте скажите пожалуйста есть ли парковка на территории отеля и какая стоимость,17,63,88
57,Здравствуйте какие сейчас номера у вас есть,20,33,57
58,день добрый меня интересует информация о видах номеров в вашей гостинице,45,57,55
59,добрый день подскажите пожалуйста ваша гостиница предоставляет какие то дополнительные услуги,35,58,30
60,зравствуйте какие услуги может предложить гостиница,98,40,93
61,подскажите пожалуста есть вас люкс,4,63,72
62,Привет Расскажи о доп услугах в этой гостинице,29,8,46
63,во сколько уже можно заселяться в номере,64,30,24
64,Во сколько нужно выехать,5,87,5
65,добрый вечер у вас есть парковка и какая стоимость,97,2,52
66,добрый день помогите забронировать в вашем отеле номер,13,63,14
67,Здравствуйте у вас есть свободные номера хотим забронировать,77,82,11
68,Во сколько нужно заехать в номер,30,93,73
69,есть ли в вашем отеле good morning парковочное место,92,47,72
70,здравствуйте могу ли я забронировать номер в вашей гостинице,77,76,53
71,есть ли в гостинице не стандартные услуги,54,40,11
72,сколько у вас есть номеров и какого они типа,48,28,57
73,Я хочу сменить комнату,93,47,18
74,Здравствуйте я хотел бы забронировать номер в вашем отеле,7,71,33
75,Скажите какие у вас номера,20,31,5
76,здравствуйте сколько стоит парковка при отели,64,91,80
77,"привет, что еще может ваш отель предоставить",37,65,51
78,время прибытия в номер,54,8,85
79,в 11 можно заехать в номер,34,89,21
80,добрый день хочу узнать какие номера предоставляются в гостинице,51,39,52
81,могу я забронировать номер у вас,75,14,63
82,здравствуйте мне нужен номер на двоих человек на 17 мая хочу забронировать заранее может подсказать мне сумму на бронь номера заранее спасибо,20,82,91
83,добрый день подскажите на территории отеля имеется парковка и какова ее стоимость,64,21,89
84,подскажите пожалуйста номера у вас есть,30,96,63
85,подскажите есть ли одноместные номера,94,8,56
86,Здравствуйте у вас есть парковка для машины,81,84,25
87,скажите пожалуйста время заселения в номер,48,53,60
88,могу ли я узнать какие имеются у вас номера,51,1,4
89,какие у вас номера,74,84,66
90,в какой часовой пояс я могу заселиться в отель,72,80,67
91,когда происходит заселение и выселение,62,36,77
92,здравствуйте хочу зарезервировать номер в вашем отеле,64,0,92
93,Какие ещё услуги может мне предоставить гостиница,93,84,52
94,Здравствуйте В отеле есть парковка,30,4,64
95,Здравствуйте можно забронировать номер в отеле,6,14,77
96,дополнительные услуги,91,30,90
97,Подскажите а у вас есть номера категории стандарт,34,70,64
98,какие у вас имеются номера,82,30,44
99,скажите есть ли парковка на территории отеля,97,3,92
100,есть ли у вас номера,8,88,23
101,покажи номера,83,17,63
102,какие номера можно снять в вашем отеле,62,46,67
103,во сколько можно заехать в номер,82,97,94
104,здравствуйте подскажите пожалуйста а на территории вашего отеля есть автомобильная парковка,38,42,69
105,приветствую подскажите есть ли у вас автомобильная парковка,63,1,66
106,здраствуйте мне нужно забронировать в отеле номер,36,28,38
107,хочу у вас снять номер,99,74,94
108,скажите время заселения и выезда,1,22,0
109,у вас есть свободные места на парковке,83,22,70
110,Подскажите пожалуйста есть ли у вас номера,71,52,73
111,Что предоставляет гостиница,5,35,2
112,добрый вечер подскажите пожалуйста есть ли у вас стоянка для авто,26,58,13
113,Здравствуйте у вас есть другие услуги,95,36,30
114,привет я хочу заказать номер в отеле,1,23,23
115,как долго я могу войти в комнату ночью,75,17,72
116,хочу сделать бронь в вашем отеле,23,85,95
117,Добрый день Есть ли какиенибудь дополнительные услуги,77,10,84
118,добрый день какие есть дополнительные услуги у отеля,52,31,27
119,здраствуйте у вас есть автомобильная стоянка и сколько стоит,14,24,28
120,добрый вечер подскажите пожалуйста есть ли автомобильная стоянка на территории и какова ее стоимость,87,58,52
121,когда я могу заехать в номер,36,98,44
122,Здравствуйте а у вас есть автостоянка,83,48,62
123,здравствуйте можете рассказать подробнее об услугах предоставляемых гостиницей,68,11,68
124,Оформите мне бронь номера,37,27,37
125,Расскажите о доступных номерах,43,14,78
126,есть ли фиксированное время заселения и выселения,100,66,65
127,когда и во сколько заежать в номер,86,86,88
128,добрый день скажите пожалуйста в какое время мы можем заселится,77,95,23
129,могу ли я получить какие то дополнительные услуги в гостинице,50,25,94
130,добрый вечер сообщите перечень услуг вашего отеля пожалуйста,1,77,8
131,здравствуйте есть ли возможность припарковаться на территории отеля,58,85,84
132,добрый день подскажите пожалуйста какими еще услугами я могу воспользоваться в вашей гостинице,85,30,66
133,позвольте зарезервировать комнату у вас,89,96,65
134,скажите какой у вас выбор номеров есть люксы синглы номера на двоих,67,26,1
135,скажите какие в наличии есть номера,46,46,51
136,каковы дополнительные услуги предоставляемые гостиницей,93,43,0
137,имеютс ли у ва номера пожалуйста подскажи,89,17,9
138,у вас есть бар в гостинице,10,35,53
139,бронь в вашем отеле,20,96,89
140,в какое время я могу заехать в номер,77,54,33
141,какие еще услуги можно заказать в гостинице,5,14,22
142,я хочу забронировать номер в вашем отеле,13,33,19
143,здравствуйте каким образом я могу заказать у вас проживание в хотеле,29,14,18
144,здравствуйте подскажите пожалуйста есть ли у вас свободные номера и какая стоимость,86,47,68
145,Здравствуйте Есть ли возможность забронировать номер в вашем отеле,55,7,38
146,В какое время я могу заселиться в номер,77,19,6
147,когда chek in,65,78,25
148,какие услуги предоставляет гостиница,86,1,48
149,если ли кондиционер в номере,39,74,84
150,есть в наличии парковка сколько она стоит,57,60,28
151,Добрый день Скажите стоимость суточной парковки у отеля,62,9,46
